"Subject","Age","Gender","Years edu","SB pre Memory","SB pre Vision","SB pre GDP","SB pre Calories","SB post Memory","SB post Vision","SB post GDP","SB post Calories","SB average Memory","SB average Vision","SB average GDP","SB average Calories","SB average pre","SB average post","SB updating Memory","SB updating Vision","SB updating GDP","SB updating Calories","SB updating","SB average","Accuracy Memory","Accuracy Vision","Accuracy GDP","Accuracy Calories","RT Memory","RT Vision","RT GDP","RT Calories","Accuracy","RT","RT incorrect Memory","RT correct Memory","RT incorrect Vision","RT correct Vision","RT incorrect GDP","RT correct GDP","RT incorrect Calories","RT correct Calories","RT correct average","RT incorrect average","LC correct Memory","LC incorrect Memory","LC correct Vision","LC incorrect Vision","LC correct GDP","LC incorrect GDP","LC correct Calories","LC incorrect Calories","Local confidence Memory","Local confidence Vision","Local confidence GDP","Local confidence Calories","Correct-incorrect Memory","Correct-incorrect Vision","Correct-incorrect GDP","Correct-incorrect Calories","LC incorrect","LC correct","Local Confidence average","Accuracy-SB pre Memory","Accuracy-SB pre Vision","Accuracy-SB pre GDP","Accuracy-SB pre Calories","Accuracy-SB post Memory","Accuracy-SB post Vision","Accuracy-SB post GDP","Accuracy-SB post Calories","Accuracy-SB updating Memory","Accuracy-SB updating Vision","Accuracy-SB updating GDP","Accuracy-SB updating Calories","M-ratio Memory","M-ratio Vision","M-ratio GDP","M-ratio Calories","M-ratio General"
1,23,"Feminin",14,70,60,60,70,75,60,65,75,72.5,60,62.5,72.5,65,68.75,5,0,5,5,3.75,66.875,0.886666666666667,0.708994708994709,0.736842105263158,0.725,1.90471349230315,1.33894395502647,1.96921591315783,2.03271184000007,0.764375870231133,1.81139630012188,2.21498042727287,1.96357547931039,2.09356326999991,1.92480614285708,2.5184443684935,1.82626668857957,1.4783406709091,1.28172888507464,1.36944419430303,1.52109520903956,5.27067669172932,2.11764705882353,3.52238805970149,2.78181818181818,4.53571428571429,2.25,5.41379310344828,4.59090909090909,3.69416187527643,3.15210312075984,3.39285714285714,5.00235109717868,3.15302963290579,0.740569877883311,2.28571428571429,0.822884012539185,2.9350935828877,4.68564303514834,3.81036830901802,18.6666666666667,13.6666666666667,10.8994708994709,10.8994708994709,13.6842105263158,8.68421052631578,2.5,-2.5,-5,0,-5,-5,1.07614369893333,0.765761028733333,1.46084222366667,0.7932996769,0.989404502033333
7,31,"Masculin",17,50,50,60,70,50,60,70,70,50,55,65,70,57.5,62.5,0,10,10,0,5,60,0.570469798657718,0.703517587939699,0.725274725274725,0.628865979381443,1.10883162807273,0.549115729648238,1.17965515384617,1.22052139175262,0.657032022813396,1.01453097582994,1.243876375,1.20673812295088,1.329154132,1.12302675303032,1.12364634765478,1.09767701568154,0.520691869491495,0.561094356428579,1.36944419430303,1.52109520903956,4.96470588235294,4.703125,4.91428571428571,4.91525423728814,4.65151515151515,5.12,5.0655737704918,4.77777777777778,4.83391544117647,4.91476997578692,4.88575757575758,4.92167577413479,0.261580882352941,-0.000968523002421229,-0.468484848484849,0.287795992714026,4.87903925376648,4.8990201296614,4.88902969171394,7.04697986577181,7.04697986577181,20.3517587939699,10.3517587939699,12.5274725274725,2.52747252747253,-7.11340206185567,-7.11340206185567,0,-10,-10,0,1.2095236626,0.4318142809,0.64553800646,0.575930560953333,0.650700195966667
5,21,"Feminin",14,80,75,45,70,60,55,30,40,70,65,37.5,55,67.5,46.25,-20,-20,-15,-30,-21.25,56.875,0.862944162436548,0.728643216080402,0.697674418604651,0.691588785046729,1.51368839639056,1.16153954120609,1.25579438766395,1.41831715064454,0.745212645542083,1.33733486897628,1.53542491838968,1.36609341637982,1.31282870301808,1.23107951767716,2.14085620010233,1.41407939227163,1.22919217407412,1.13634476758627,1.36944419430303,1.52109520903956,4.60588235294118,1.59259259259259,3.93103448275862,3.37037037037037,4.91666666666667,2.23076923076923,5.63513513513514,4.93939393939394,3.09923747276688,3.6507024265645,3.57371794871795,5.28726453726454,3.01328976034858,0.56066411238825,2.68589743589744,0.695741195741196,3.03328153328153,4.7721796593754,3.90273059632847,6.29441624365482,26.2944162436548,-2.1356783919598,17.8643216080402,24.7674418604651,39.7674418604651,-0.841121495327101,29.1588785046729,20,20,15,30,1.079842505,0.6613155134,2.22320660503333,0.763036422233332,0.89821515853333
3,21,"Masculin",13,67,50,52,37,23,95,60,40,45,72.5,56,38.5,51.5,54.5,-44,45,8,3,3,53,0.614213197969543,0.688442211055276,0.720930232558139,0.717647058823529,0.775477795247258,0.448078519598024,1.74008511668513,1.63694961836782,0.685308175101622,1.15014776247456,1.50936870035429,1.68714538938954,1.52926054798516,1.82169462714964,0.714118372266661,0.814017598111105,0.460147645161361,0.442616579562061,1.36944419430303,1.52109520903956,5.0495867768595,3.82894736842105,6.7007299270073,6.29032258064516,6.12903225806452,4.95833333333333,6,5.29166666666667,4.43926707264028,6.49552625382623,5.54368279569892,5.64583333333333,1.22063940843845,0.410407346362138,1.17069892473118,0.708333333333333,5.09231748726655,5.96983724048283,5.53107736387469,-5.57868020304569,38.4213197969543,18.8442211055276,-26.1557788944724,20.0930232558139,12.0930232558139,34.7647058823529,31.7647058823529,44,-45,-8,-3,1.3147348377,0.903963877666664,1.15479775393333,0.644641613026666,1.01144695296666
8,24,"Masculin",16,65,75,50,80,80,75,40,80,72.5,75,45,80,67.5,68.75,15,0,-10,0,1.25,68.125,0.876288659793814,0.731958762886598,0.681818181818182,0.725,1.40963474896909,1.11907420051546,1.64676761363637,1.90896401374998,0.753766401124649,1.52111014421772,2.34020109545455,1.74539132758617,1.54940987142858,1.69220122666667,1.87189865000001,1.34437396294119,1.33640102115385,1.0394897309859,1.36944419430303,1.52109520903956,5.84117647058823,2.83333333333333,4.38732394366197,3.63461538461538,4.86666666666667,3.46428571428571,5.77586206896552,4.54545454545455,4.33725490196078,4.01096966413868,4.16547619047619,5.16065830721003,3.0078431372549,0.752708559046587,1.40238095238095,1.23040752351097,3.61942224442224,5.2177572874706,4.41858976594642,22.6288659793814,7.62886597938144,-1.80412371134021,-1.80412371134021,18.1818181818182,28.1818181818182,-7.5,-7.5,-15,0,10,0,1.05176041103333,0.666314975366668,1.0918090416,0.716675728433333,0.919310161133332
4,21,"Feminin",15,60,90,60,70,65,60,40,50,62.5,75,50,60,70,53.75,5,-30,-20,-20,-16.25,61.875,0.722826086956522,0.717948717948718,0.659574468085106,0.71264367816092,1.69256277771737,0.829486810256425,1.64000897548952,1.49929273492873,0.703248237787816,1.41533782459801,1.56196807442115,1.47402042061727,1.73937258726156,1.58872453070396,1.83179309019598,1.63917371052633,0.837596681818203,0.826300789285727,1.36944419430303,1.52109520903956,4.30827067669173,3.07843137254902,4.1,3.34545454545455,5.11290322580645,4.28125,5.61290322580645,4.84,3.69335102462037,3.72272727272727,4.69707661290323,5.22645161290323,1.22983930414271,0.754545454545454,0.831653225806452,0.772903225806452,3.88628397950089,4.78351928207616,4.33490163078852,12.2826086956522,7.28260869565217,-18.2051282051282,11.7948717948718,5.95744680851064,25.9574468085106,1.26436781609196,21.264367816092,-5,30,20,20,1.13511722136666,0.783056042566669,1.356240026,0.868845142633331,0.949964201133333
2,25,"Feminin",19,45,85,35,60,35,70,20,80,40,77.5,27.5,70,56.25,51.25,-10,-15,-15,20,-5,53.75,0.766839378238342,0.732984293193717,0.67741935483871,0.807228915662651,1.79196913730569,0.99261932984296,1.96295629677421,2.12577719277108,0.746117985483355,1.71833048917349,2.44255780624991,2.05012809104479,2.07471116500001,1.90973969285717,1.9133721755556,1.75505605135133,1.11032418431373,0.949741132857178,1.36944419430303,1.52109520903956,4.83783783783784,3.46666666666667,5.46428571428571,4.33333333333333,5.23809523809524,3.7,5.95522388059702,5.625,4.15225225225225,4.89880952380952,4.46904761904762,5.79011194029851,1.37117117117117,1.13095238095238,1.53809523809524,0.330223880597015,4.28125,5.37386066770395,4.82755533385198,31.6839378238342,41.6839378238342,-11.7015706806283,3.29842931937172,32.741935483871,47.741935483871,20.7228915662651,0.722891566265062,10,15,15,-20,0.981172806366666,0.950755730066666,1.36617340886667,0.753699324966668,0.935537072799999
6,33,"Masculin",20,85,60,85,75,80,70,65,80,82.5,65,75,77.5,76.25,73.75,-5,10,-20,5,-2.5,75,0.895104895104895,0.741573033707865,0.773584905660377,0.746478873239437,1.9368415083916,1.43546359719103,2.28198019053108,2.21717878503971,0.789185426928144,1.96786602028835,2.63822100394433,2.07418331446832,2.65530459357554,2.17271451159124,2.33534922000002,1.89014138593749,1.65465588260869,1.3590784068182,1.36944419430303,1.52109520903956,5.78125,1.33333333333333,3.99242424242424,3.32608695652174,6,2.25,6.47169811320755,4.94444444444444,3.55729166666667,3.65925559947299,4.125,5.708071278826,4.44791666666667,0.666337285902503,3.75,1.5272536687631,2.96346618357488,5.56134308890795,4.26240463624141,4.51048951048951,9.51048951048951,14.1573033707865,4.15730337078652,-7.64150943396226,12.3584905660377,-0.352112676056336,-5.35211267605634,5,-10,20,-5,1.53223383033333,0.853179728333334,1.98279010256666,0.982118958266665,1.25015375693334
15,21,"Masculin",15,25,20,85,68,10,20,60,70,17.5,20,72.5,69,49.5,40,-15,0,-25,2,-9.5,44.75,0.720670391061452,0.724489795918367,0.702380952380952,0.753086419753086,1.72332993938416,0.99808456173469,2.08974687151188,1.97441242244489,0.725156889778465,1.69639344876891,2.17585665335471,1.908365133622,2.40126984109194,1.95774561321525,1.93965214167425,1.63948412454304,1.09283937222222,0.962051042253516,1.36944419430303,1.52109520903956,5.10852713178295,2.76,4.85211267605634,3.44444444444444,5.6271186440678,4.72,6.16393442622951,5.4,3.93426356589147,4.14827856025039,5.1735593220339,5.78196721311475,2.34852713178295,1.40766823161189,0.907118644067797,0.763934426229508,4.08111111111111,5.43792321953415,4.75951716532263,47.0670391061452,62.0670391061452,52.4489795918367,52.4489795918367,-14.7619047619048,10.2380952380952,7.30864197530865,5.30864197530865,15,0,25,-2,1.41955903856667,0.732128217133333,1.0752078266,0.691615656209999,1.01420907453333
12,24,"Feminin",17,85,80,70,90,30,80,60,75,57.5,80,65,82.5,81.25,61.25,-55,0,-10,-15,-20,71.25,0.769230769230769,0.725274725274725,0.779220779220779,0.794871794871795,1.91725076758242,0.893429602197824,2.00167203636364,2.07046221794875,0.767149517149517,1.72070365602316,2.4563652500002,1.97087433870967,2.35128490000009,1.90261505833331,2.35262096666669,1.78663970785714,0.950784582000006,0.871704231060634,1.36944419430303,1.52109520903956,4.61428571428571,2.21428571428571,5.22727272727273,4.32,5.35,2.94117647058824,5.70967741935484,5.1875,3.41428571428571,4.77363636363636,4.14558823529412,5.44858870967742,2.4,0.907272727272727,2.40882352941176,0.522177419354839,3.66574054621849,5.22530896522832,4.4455247557234,-8.07692307692307,46.9230769230769,-7.47252747252747,-7.47252747252747,7.92207792207793,17.9220779220779,-10.5128205128205,4.48717948717949,55,0,10,15,1.26975855543334,0.7595846932,1.44262688476667,0.849965636499999,1.0676806543
