"","subj","gender","pre_mem","pre_vis","pre_gdp","pre_cal","post_mem","post_vis","post_gdp","post_cal","mem_sb","vis_sb","gdp_sb","cal_sb","pre_avg","post_avg","sb_diff_mem","sb_diff_vis","sb_diff_gdp","sb_diff_cal","sb_diff","sb_avg"
"1",1,"Feminin",70,60,60,70,75,60,65,75,72.5,60,62.5,72.5,65,68.75,5,0,5,5,3.75,66.875
"2",7,"Masculin",50,50,60,70,50,60,70,70,50,55,65,70,57.5,62.5,0,10,10,0,5,60
"3",5,"Feminin",80,75,45,70,60,55,30,40,70,65,37.5,55,67.5,46.25,-20,-20,-15,-30,-21.25,56.875
"4",3,"Masculin",67,50,52,37,23,95,60,40,45,72.5,56,38.5,51.5,54.5,-44,45,8,3,3,53
"5",8,"Masculin",65,75,50,80,80,75,40,80,72.5,75,45,80,67.5,68.75,15,0,-10,0,1.25,68.125
"6",4,"Feminin",60,90,60,70,65,60,40,50,62.5,75,50,60,70,53.75,5,-30,-20,-20,-16.25,61.875
"7",2,"Feminin",45,85,35,60,35,70,20,80,40,77.5,27.5,70,56.25,51.25,-10,-15,-15,20,-5,53.75
"8",6,"Masculin",85,60,85,75,80,70,65,80,82.5,65,75,77.5,76.25,73.75,-5,10,-20,5,-2.5,75
"9",15,"Masculin",25,20,85,68,10,20,60,70,17.5,20,72.5,69,49.5,40,-15,0,-25,2,-9.5,44.75
"10",12,"Feminin",85,80,70,90,30,80,60,75,57.5,80,65,82.5,81.25,61.25,-55,0,-10,-15,-20,71.25
"11",10,"Feminin",60,60,65,65,55,60,64,70,57.5,60,64.5,67.5,62.5,62.25,-5,0,-1,5,-0.25,62.375
"12",9,"Feminin",25,40,30,60,25,30,25,25,25,35,27.5,42.5,38.75,26.25,0,-10,-5,-35,-12.5,32.5
"13",16,"Feminin",90,70,50,70,50,50,40,70,70,60,45,70,70,52.5,-40,-20,-10,0,-17.5,61.25
"14",13,"Feminin",70,60,80,70,50,40,40,60,60,50,60,65,70,47.5,-20,-20,-40,-10,-22.5,58.75
"15",17,"Masculin",40,20,5,5,50,60,25,10,45,40,15,7.5,17.5,36.25,10,40,20,5,18.75,26.875
"16",14,"Feminin",78,86,65,74,91,84,39,46,84.5,85,52,60,75.75,65,13,-2,-26,-28,-10.75,70.375
"17",11,"Masculin",70,50,80,70,68,65,70,65,69,57.5,75,67.5,67.5,67,-2,15,-10,-5,-0.5,67.25
"18",19,"Feminin",40,60,60,60,40,50,40,60,40,55,50,60,55,47.5,0,-10,-20,0,-7.5,51.25
"19",29,"Feminin",30,40,70,80,40,40,30,50,35,40,50,65,55,40,10,0,-40,-30,-15,47.5
"20",32,"Masculin",90,80,80,95,40,90,75,98,65,85,77.5,96.5,86.25,75.75,-50,10,-5,3,-10.5,81
"21",20,"Feminin",75,60,80,70,80,70,55,90,77.5,65,67.5,80,71.25,73.75,5,10,-25,20,2.5,72.5
"22",23,"Feminin",60,35,65,65,10,10,40,40,35,22.5,52.5,52.5,56.25,25,-50,-25,-25,-25,-31.25,40.625
"23",18,"Masculin",75,85,80,75,80,50,70,50,77.5,67.5,75,62.5,78.75,62.5,5,-35,-10,-25,-16.25,70.625
"24",24,"Masculin",75,80,75,85,94,60,87,70,84.5,70,81,77.5,78.75,77.75,19,-20,12,-15,-1,78.25
"25",31,"Masculin",85,85,85,70,52,75,90,80,68.5,80,87.5,75,81.25,74.25,-33,-10,5,10,-7,77.75
"26",21,"Feminin",80,70,50,60,30,50,50,80,55,60,50,70,65,52.5,-50,-20,0,20,-12.5,58.75
"27",30,"Feminin",50,50,40,60,60,45,25,50,55,47.5,32.5,55,50,45,10,-5,-15,-10,-5,47.5
"28",26,"Masculin",50,70,50,70,60,65,60,80,55,67.5,55,75,60,66.25,10,-5,10,10,6.25,63.125
"29",25,"Masculin",85,85,75,60,60,50,50,75,72.5,67.5,62.5,67.5,76.25,58.75,-25,-35,-25,15,-17.5,67.5
"30",22,"Masculin",78,85,90,85,85,70,88,78,81.5,77.5,89,81.5,84.5,80.25,7,-15,-2,-7,-4.25,82.375
"31",27,"Feminin",60,70,50,70,60,50,30,70,60,60,40,70,62.5,52.5,0,-20,-20,0,-10,57.5
"32",41,"Masculin",80,90,90,80,70,90,80,70,75,90,85,75,85,77.5,-10,0,-10,-10,-7.5,81.25
"33",34,"Feminin",50,50,60,75,65,75,55,85,57.5,62.5,57.5,80,58.75,70,15,25,-5,10,11.25,64.375
"34",35,"Feminin",50,40,50,60,60,30,30,60,55,35,40,60,50,45,10,-10,-20,0,-5,47.5
"35",42,"Masculin",65,80,50,50,60,69,25,85,62.5,74.5,37.5,67.5,61.25,59.75,-5,-11,-25,35,-1.5,60.5
"36",39,"Masculin",90,90,90,90,55,70,55,76,72.5,80,72.5,83,90,64,-35,-20,-35,-14,-26,77
"37",33,"Feminin",70,90,60,85,30,70,60,80,50,80,60,82.5,76.25,60,-40,-20,0,-5,-16.25,68.125
"38",40,"Feminin",60,68,50,70,40,50,45,60,50,59,47.5,65,62,48.75,-20,-18,-5,-10,-13.25,55.375
"39",28,"Feminin",60,55,50,70,30,50,55,55,45,52.5,52.5,62.5,58.75,47.5,-30,-5,5,-15,-11.25,53.125
"40",37,"Feminin",70,50,80,80,75,80,60,60,72.5,65,70,70,70,68.75,5,30,-20,-20,-1.25,69.375
"41",36,"Masculin",70,75,90,60,80,75,90,80,75,75,90,70,73.75,81.25,10,0,0,20,7.5,77.5
"42",38,"Masculin",75,80,65,85,90,60,60,75,82.5,70,62.5,80,76.25,71.25,15,-20,-5,-10,-5,73.75
"43",50,"Masculin",75,80,80,75,35,80,65,85,55,80,72.5,80,77.5,66.25,-40,0,-15,10,-11.25,71.875
"44",47,"Masculin",70,45,50,33,50,70,60,50,60,57.5,55,41.5,49.5,57.5,-20,25,10,17,8,53.5
"45",49,"Masculin",80,80,60,60,85,60,65,65,82.5,70,62.5,62.5,70,68.75,5,-20,5,5,-1.25,69.375
"46",48,"Masculin",7,85,86,80,70,75,50,67,38.5,80,68,73.5,64.5,65.5,63,-10,-36,-13,1,65
"47",45,"Feminin",60,80,50,50,60,80,40,70,60,80,45,60,60,62.5,0,0,-10,20,2.5,61.25
"48",46,"Feminin",55,45,40,45,60,50,35,40,57.5,47.5,37.5,42.5,46.25,46.25,5,5,-5,-5,0,46.25
